nuts2_code,period,nouveaute_count,influence_count,rupture_count,total_patents,region_name
ES70,1980-1989,0.0,0.0,0.0,7.0,Canarias
ESZZ,1980-1989,0.0,0.0,0.0,6.635714285714286,ESZZ
FI20,1980-1989,0.0,0.0,0.0,2.0,Aland
FIZZ,1980-1989,0.0,0.0,0.0,3.0,FIZZ
FRC2,1980-1989,0.0,9.5,1.5,422.5083333333333,Franche-Comte
FRF1,1980-1989,0.0,7.166666666666667,0.0,906.7488095238095,Alsace
FRI1,1980-1989,0.0,7.5,0.0,641.8329365079364,Aquitaine
FRI2,1980-1989,0.0,1.0,0.0,89.36111111111111,Limousin
FRJ2,1980-1989,0.0,2.0,2.0,663.6166666666666,Midi-Pyrenees
FRM0,1980-1989,0.0,0.0,1.0,6.976190476190476,Corse
FRY1,1980-1989,0.0,0.0,0.0,1.3333333333333335,FRY1
FRY3,1980-1989,0.0,0.0,0.0,1.0,FRY3
FRY4,1980-1989,0.0,0.0,0.0,3.0,FRY4
FRZZ,1980-1989,0.0,0.0,0.0,102.17619047619047,FRZZ
HU21,1980-1989,0.0,0.0,0.0,37.9759213009213,Kozep-Dunantul
HU22,1980-1989,0.0,0.0,0.0,13.243253968253969,Nyugat-Dunantul
HU23,1980-1989,0.0,1.0,0.0,20.17469474969475,Del-Dunantul
HU31,1980-1989,0.0,0.0,0.0,26.977810098398336,Eszak-Magyarorszag
HU32,1980-1989,0.0,0.0,0.0,47.38809523809524,Eszak-Alfold
HUZZ,1980-1989,0.0,0.0,0.0,0.7531135531135531,HUZZ
IE01,1980-1989,0.0,0.0,0.0,22.033333333333335,IE01
IE02,1980-1989,0.0,0.0,0.0,20.516666666666666,IE02
IEZZ,1980-1989,0.0,1.0,0.0,5.75,IEZZ
IS02,1980-1989,0.0,0.0,0.0,2.0,IS02
ISZZ,1980-1989,0.0,0.0,0.0,1.916666666666667,ISZZ
ITC2,1980-1989,0.0,0.0,0.0,11.0,Valle d'Aosta
ITF1,1980-1989,0.0,0.0,0.0,55.46666666666667,Abruzzo
ITF2,1980-1989,0.0,0.0,0.0,4.833333333333334,Molise
ITF5,1980-1989,0.0,0.0,0.0,11.600000000000001,Basilicata
ITF6,1980-1989,0.0,0.0,0.0,18.376190476190477,Calabria
ITG1,1980-1989,0.0,1.0,0.0,96.2761904761905,Sicilia
ITG2,1980-1989,0.0,0.0,0.0,33.75,Sardegna
ITH1,1980-1989,0.0,0.0,0.0,69.69209956709958,Provincia di Bolzano
ITH2,1980-1989,0.0,0.0,0.0,29.333333333333336,Provincia di Trento
LU00,1980-1989,0.0,4.0,0.0,207.91904761904763,Luxembourg
ME03,1980-1989,0.0,0.0,0.0,0.5,ME03
ME05,1980-1989,0.0,0.0,0.0,2.0,ME05
ME08,1980-1989,0.0,0.0,0.0,0.5,ME08
ME09,1980-1989,0.0,0.0,0.0,9.575,ME09
ME12,1980-1989,0.0,0.0,0.0,0.6666666666666667,ME12
ME13,1980-1989,0.0,0.0,0.0,3.0,ME13
ME14,1980-1989,0.0,0.0,0.0,1.8333333333333335,ME14
ME15,1980-1989,0.0,0.0,0.0,2.25,ME15
ME17,1980-1989,0.0,0.0,0.0,1.825,ME17
ME25,1980-1989,0.0,0.0,0.0,0.33333333333333337,ME25
ME27,1980-1989,0.0,0.0,0.0,2.0,ME27
ME30,1980-1989,0.0,0.0,0.0,1.0,ME30
MT00,1980-1989,0.0,0.0,0.0,1.0,MT00
NL23,1980-1989,0.0,0.0,0.0,34.5,Flevoland
NO07,1980-1989,0.0,0.0,0.0,16.1,Nord-Norge
NO0B,1980-1989,0.0,0.0,0.0,0.5,NO0B
NOZZ,1980-1989,0.0,1.0,0.0,8.0,NOZZ
PL21,1980-1989,0.0,0.0,1.0,21.28055555555556,Malopolskie
PL22,1980-1989,0.0,1.0,0.0,26.289285714285715,Slaskie
PL41,1980-1989,0.0,1.0,0.0,11.5,Wielkopolskie
PL42,1980-1989,0.0,0.0,0.0,0.5,Zachodniopomorskie
PL51,1980-1989,0.0,1.0,0.0,7.633333333333334,Dolnoslaskie
PL52,1980-1989,0.0,0.0,0.0,1.8000000000000003,Opolskie
PL61,1980-1989,0.0,0.0,0.0,3.4226190476190474,Kujawsko-Pomorskie
PL62,1980-1989,0.0,0.0,0.0,1.2,Warminsko-Mazurskie
PL63,1980-1989,0.0,0.0,0.0,6.792857142857144,Pomorskie
PL71,1980-1989,0.0,0.33333333333333337,0.0,9.710714285714285,Lodzkie
PL72,1980-1989,0.0,0.0,0.0,1.0,Swietokrzyskie
PL81,1980-1989,0.0,0.0,0.0,3.125,Lubelskie
PL82,1980-1989,0.0,0.0,0.0,3.366666666666667,Podkarpackie
